2018-06-11 10:53:43,593 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-06-11 10:53:43,594 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-11 10:53:43,598 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\work\myWork\huojia\read\src\test\resources
2018-06-11 10:54:18,255 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-11 10:54:18,261 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-06-11 10:54:18,262 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-11 10:54:18,268 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\work\myWork\huojia\read\src\test\resources
2018-06-11 11:03:25,365 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-11 11:03:25,372 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-06-11 11:03:25,373 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-11 11:03:25,380 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\work\myWork\huojia\read\src\test\resources
2018-06-11 11:10:00,357 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-11 11:10:00,367 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-06-11 11:10:00,368 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-11 11:10:00,377 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\work\myWork\huojia\read\src\test\resources
2018-06-11 11:10:25,678 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-11 11:10:25,685 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2018-06-11 11:10:25,686 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-11 11:10:25,692 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\work\myWork\huojia\read\src\test\resources
